0.22,0.09,0.29,-0.29
0.00,0.09,0.29,-0.29
0.26,0.09,0.03,-0.29
0.00,0.09,0.03,-0.29
0.32,-0.17,0.16,-0.16
0.00,-0.17,0.16,-0.16
0.29,0.09,0.16,-0.29
0.00,0.09,0.16,-0.29
0.13,-0.04,0.16,-0.29
0.00,-0.04,0.16,-0.29
0.18,-0.04,0.03,-0.16
0.00,-0.04,0.03,-0.16
0.13,-0.04,0.16,-0.16
0.00,-0.04,0.16,-0.16
0.18,0.09,0.16,-0.29
0.00,0.09,0.16,-0.29
0.18,0.09,0.29,-0.16
0.00,0.09,0.29,-0.16
0.18,-0.04,0.16,-0.16
0.00,-0.04,0.16,-0.16
0.00,-0.04,0.16,-0.16
0.00,-0.04,0.16,-0.16
0.18,0.09,0.16,-0.29
0.00,0.09,0.16,-0.29
0.18,-0.04,0.29,-0.29
0.00,-0.04,0.29,-0.29
0.29,0.09,0.29,-0.03
0.00,0.09,0.29,-0.03
0.18,0.09,0.16,-0.16
0.00,0.09,0.16,-0.16
