Object detected0.00,0.09,0.27,-1.03
0.13,0.22,0.27,-1.03
0.00,0.22,0.27,-1.03
0.26,-0.04,0.27,-1.03
0.00,-0.04,0.27,-1.03
0.32,0.09,0.40,-1.29
0.00,0.09,0.40,-1.29
0.29,0.22,0.40,-1.03
0.00,0.22,0.40,-1.03
0.18,0.09,0.27,-1.03
0.00,0.09,0.27,-1.03
0.13,0.09,0.27,-0.90
0.00,0.09,0.27,-0.90
0.13,0.09,0.27,-1.03
0.00,0.09,0.27,-1.03
0.18,0.22,0.27,-0.90
0.00,0.22,0.27,-0.90
0.13,0.09,0.27,-0.90
0.00,0.09,0.27,-0.90
0.13,0.09,0.27,-0.77
0.00,0.09,0.27,-0.77
0.13,0.09,0.27,-0.90
0.00,0.09,0.27,-0.90
0.18,-0.04,0.14,-0.90
0.00,-0.04,0.14,-0.90
0.18,-0.04,0.27,-0.77
0.00,-0.04,0.27,-0.77
0.18,0.09,0.14,-0.77
0.00,0.09,0.14,-0.77
0.13,0.09,0.14,-0.90
0.00,0.09,0.14,-0.90
